method,mse,r2,iters,elapsed_s,converged,theta
Newton-Raphson (SSE),12.693055108997775,0.5203367936649221,7,0.0,True,"[-5.949883524864942, 0.027827997397911045, 0.4726849779582692, 1.682623621411615, 9.162640359608362]"
Levenberg-Marquardt,19.69465217773723,0.2557504926823351,253,0.031850576400756836,True,"[3.619265122329296, -0.05121542178986029, -1.2149529245682906, -6.738342862017719, 8.406043110695625]"
Gauss-Newton,22.021536337531177,0.16781888699144976,10,0.0,True,"[-2.040509854592474, -6.980498682018182, -2.4833013440565317, -6.423105342280058, 7.935190456290138]"
Gradiente (SSE),23.814391613062412,0.10006792376223761,6000,0.6506531238555908,False,"[1.4374329552595349, -3.6773513534741245, -0.8140531493242328, 7.404557063744862, 8.19599612846125]"
