method,mse,r2,iters,elapsed_s,converged,theta
Newton-Raphson (SSE),0.35110597633799173,0.9387917663318149,4,0.0,True,"[5.810977735356969, 1.6575199534098066, 3.20214643254866]"
Levenberg-Marquardt,0.3511059763380069,0.9387917663318123,19,0.0,True,"[5.810977657557538, 1.657520038555418, 3.2021462989970764]"
Gradiente (SSE),0.35110597635125307,0.9387917663295031,237,0.021280527114868164,True,"[5.810975380856278, 1.6575296839122993, 3.2021460689970964]"
Gauss-Newton,5.736254018394948,2.298161660974074e-14,2,0.0003829002380371094,True,"[3.9196235109222584, 7.304434256874728, -4.011242087250855]"
