method,mse,r2,iters,elapsed_s,converged,theta
Levenberg-Marquardt,0.8158739595828228,0.9511351263342289,29,0.0029480457305908203,True,"[20.018602514679444, 0.014090290728091998, 38.92137128888288]"
Gradiente (SSE),1.0932257062211932,0.9345237883925267,6000,0.37388086318969727,False,"[23.335885183813197, 0.009922180821360678, 60.81464527078667]"
Newton-Raphson (SSE),3.553908005440869,0.7871469438803538,80,0.03743791580200195,False,"[15.577503877067429, 0.05224018985635491, 15.19773290657032]"
Gauss-Newton,16.69653267013736,1.7286172493413687e-13,2,0.0,True,"[12.766331100158542, 8.001507712821414, -0.15082918795013178]"
