method,mse,r2,iters,elapsed_s,converged,theta
Levenberg-Marquardt,0.07963701854343141,0.9576638126422861,6,0.0,True,"[-0.8527018421853951, -3.195857064504186, -1.7541436412202482, -0.9994558243486888, 2.7530408660205654]"
Gauss-Newton,0.07963701854343762,0.9576638126422827,14,0.0,True,"[0.8527018467356675, 3.195857101837977, -1.7541436521887235, -0.9994558230141497, 2.7530408597890794]"
Newton-Raphson (SSE),0.4329648558877761,0.7698296396144728,5,0.016024112701416016,True,"[-0.057955023571609275, -7.553522270166607, -1.734893754685962, 1.0092845089917806, 2.772640736666017]"
Gradiente (SSE),0.43354621337534055,0.7695205815913888,1121,0.15969204902648926,True,"[-0.046653993292861344, 8.108122412252682, -1.7301780095977035, 1.0096397647690436, 2.7753950101307154]"
