method,mse,r2,iters,elapsed_s,converged,theta
Levenberg-Marquardt,0.38451616165867014,0.9329673754987837,33,0.003999948501586914,True,"[-0.7905992129447046, 1.0238990891421633, -3.0154607536648257, -0.41705736337871074, 3.4560689401828713]"
Gradiente (SSE),0.3845161788342873,0.932967372504562,2801,0.30808162689208984,True,"[-0.7907997268783179, 1.0238660302390143, -3.0153198159553396, -0.41704418677978683, 3.4562172686418027]"
Newton-Raphson (SSE),0.542270999017841,0.9054660066867889,9,0.011094331741333008,True,"[7.435566512328636, 0.20587588851614538, 0.13986618862302078, 4.419058347210147, -1.3529346811921563]"
Gauss-Newton,0.6096244750302955,0.8937242888694703,35,0.004038810729980469,True,"[-0.16284685717461447, 5.609814785762748, -3.1927239025363034, -0.4348084483990072, 3.255926414031368]"
