method,mse,r2,iters,elapsed_s,converged,theta
Levenberg-Marquardt,0.6873065702383974,0.9740270824963159,20,0.002000093460083008,True,"[7.123793833170628, -0.6188957986285143, 0.09064027846288411, -3.423223231449718, 7.942035321698241]"
Gauss-Newton,0.6903088753140956,0.9739136271251196,6,0.0,True,"[7.125420372842563, -0.6187984558026687, 0.04603629525658912, 8.194712014112914, 7.943751847633483]"
Gradiente (SSE),0.6903171703732487,0.9739133136596352,6000,0.6648013591766357,False,"[-7.125051484516672, 0.6187898142530317, 0.04717702721745819, -8.180576773560277, 7.943846084736493]"
Newton-Raphson (SSE),3.4437208586404013,0.8698637818402359,7,0.008558988571166992,True,"[0.8534746818269905, 2.4615733391125, -6.564115119562269, 0.36389267222331495, 7.129848908556658]"
